"csv_row","status","match_type","matched_address","coordinates"
"207","Match","Non_Exact","2203 SAN ANTONIO ST, AUSTIN, TX, 78705","-97.742824975052,30.28516485659"
"60","Match","Non_Exact","6711 MANCHACA RD, AUSTIN, TX, 78745","-97.806374966589,30.205607087291"
"208","Match","Non_Exact","4301 TANNEHILL LN, AUSTIN, TX, 78721","-97.672552350731,30.28137799203"
"61","Match","Non_Exact","1314 E OLTORF ST, AUSTIN, TX, 78704","-97.743371852527,30.234529768316"
"209","Match","Non_Exact","1625 RUTHERFORD LN, AUSTIN, TX, 78754","-97.680568921433,30.335125206857"
"62","Match","Non_Exact","1204 PAYTON GIN RD, AUSTIN, TX, 78758","-97.707861416432,30.361475177714"
"63","Match","Non_Exact","1734 RUTLAND DR, AUSTIN, TX, 78758","-97.711788370984,30.374528707442"
"64","Match","Non_Exact","4301 TANNEHILL LN, AUSTIN, TX, 78721","-97.672552350731,30.28137799203"
"65","Match","Non_Exact","2900 W PECAN ST, PFLUGERVILLE, TX, 78660","-97.658127379196,30.449882849435"
"66","Match","Non_Exact","1440 PECAN ST W, PFLUGERVILLE, TX, 78660","-97.633117516885,30.44574121379"
"67","Match","Non_Exact","306 S 10TH ST, PFLUGERVILLE, TX, 78660","-97.628789330896,30.441454398371"
"68","Match","Non_Exact","1520 N RAILROAD AVE, PFLUGERVILLE, TX, 78660","-97.616703780027,30.457141134703"
"69","Tie","","",""
"171","Match","Exact","8133 MESA DR, AUSTIN, TX, 78759","-97.756916704073,30.372050005559"
"173","Match","Exact","165 W AUSTIN ST, GIDDINGS, TX, 78942","-96.937983391088,30.1830477827"
"176","No_Match","","",""
"210","Match","Non_Exact","8134 MESA DR, AUSTIN, TX, 78759","-97.757019057252,30.372129346337"
"179","Tie","","",""
"212","Match","Non_Exact","7901 METROPOLIS DR, AUSTIN, TX, 78744","-97.694420497254,30.206981427636"
"215","No_Match","","",""
"70","No_Match","","",""
"71","Match","Non_Exact","5301 ROSS RD, DEL VALLE, TX, 78617","-97.61519984697,30.178219272974"
"219","No_Match","","",""
"72","Match","Non_Exact","12675 RESEARCH BLVD, AUSTIN, TX, 78759","-97.764249616862,30.432085635017"
