"230","806, Fayette St. Bastrop, TX, 78602","No_Match"
"129","850 East Anderson Lane, Austin, TX, 78752","Match","Non_Exact","850 E ANDERSON LN SVC RD, AUSTIN, TX, 78752","-97.69803878022,30.338393069397","637850601","L","48","453","040300","3021"
"9","1401 N. Highway 183, Leander, TX, 78641","Match","Non_Exact","1401 US HWY 183, LEANDER, TX, 78641","-97.845581324213,30.561119683154","641270894","L","48","491","020332","1008"
"20","8956 Research Blvd, Austin, TX, 78758","No_Match"
"21","1200 W. 17th Street, Georgetown, TX, 78626","No_Match"
"22","6408 Muleshoe Bend Trail, Marble Falls, TX, 78654","Match","Exact","6408 MULESHOE BEND TRL, MARBLE FALLS, TX, 78654","-98.074461663371,30.506737991925","64078558","L","48","453","036400","2023"
"23","2418 Stratford Drive, Austin, TX, 78746","Match","Exact","2418 STRATFORD DR, AUSTIN, TX, 78746","-97.776634693722,30.274703326726","64017773","R","48","453","001910","1012"
"24","24814 Hamilton Pool Road, Round Mountain, TX, 78663","Match","Exact","24814 HAMILTON POOL RD, ROUND MOUNTAIN, TX, 78663","-98.139544586832,30.339205408058","637066145","L","48","453","036500","2039"
"25","2220 Barton Springs Road, Austin, TX, 78746","Match","Exact","2220 BARTON SPRINGS RD, AUSTIN, TX, 78746","-97.769029303442,30.266224562324","63992512","R","48","453","001911","3002"
"26","3100 East 4th Street, Austin, TX, 78702","Match","Exact","3100 E 4TH ST, AUSTIN, TX, 78702","-97.708666617501,30.254464697085","63948929","L","48","453","000902","2024"
"27","13300 Pond Springs Road, Austin, TX, 78729","Match","Exact","13300 POND SPRINGS RD, AUSTIN, TX, 78729","-97.782095001013,30.447948416244","126431817","L","48","491","020406","2000"
"28","2306 Hancock Drive, Austin, TX, 78756","Match","Exact","2306 HANCOCK DR, AUSTIN, TX, 78756","-97.74275681366,30.324315298944","63929498","R","48","453","000206","3004"
"29","1200 Montopolis Drive, Austin, TX, 78741","Match","Exact","1200 MONTOPOLIS DR, AUSTIN, TX, 78741","-97.698902033918,30.232319627812","63949277","R","48","453","002325","3014"
"250","4920 North I-35, Austin, TX 78751, Austin, TX, 78751","No_Match"
"131","215 S. Reimer Avenue, San Marcos, TX, 78666","Match","Non_Exact","215 REIMER AVE, SAN MARCOS, TX, 78666","-97.97683295747,29.852272672502","63835598","L","48","209","010602","2026"
"132","810 Arizona Street, San Marcos, TX, 78666","Match","Exact","810 ARIZONA ST, SAN MARCOS, TX, 78666","-97.944337906988,29.870222876065","63814263","R","48","209","010500","1038"
"133","901 Bois D'Arc Street, Lockhart, TX, 78644","Match","Exact","901 BOIS DARC ST, LOCKHART, TX, 78644","-97.684756594655,29.885270323548","45531003","L","48","055","960400","3005"
"134","1209 Linden St, Bastrop, TX, 78602","Match","Exact","1209 LINDEN ST, BASTROP, TX, 78602","-97.314461685988,30.125201375678","45468546","L","48","021","950401","4017"
"135","5325 Airport Blvd, 2do piso, Austin, TX, 78753","Match","Non_Exact","5325 AIRPORT BLVD, AUSTIN, TX, 78751","-97.714884849125,30.314267125881","63932483","R","48","453","002105","2014"
"136","7640 Guadalupe St, Austin, TX, 78752","Match","Exact","7640 GUADALUPE ST, AUSTIN, TX, 78752","-97.71165809166,30.343359511282","63932083","L","48","453","040000","2005"
"137","2601 Exposition Boulevard, Austin, TX, 78703","No_Match"
"138","5555 N. Lamar, Building J Suite 125, Austin, TX, 78751","Match","Non_Exact","5555 N LAMAR BLVD, AUSTIN, TX, 78751","-97.727628130341,30.323802057897","641885238","R","48","453","001503","1006"
"139","7201 Levander Loop, Building C, Austin, TX, 78702","No_Match"
"30","2005 Wheless Lane, Austin, TX, 78723","Match","Exact","2005 WHELESS LN, AUSTIN, TX, 78723","-97.68770220831,30.313762259736","64020419","R","48","453","002106","1002"
"31","3000 S IH 35, Austin, TX, 78704","No_Match"
"32","610 E. 45th Street, Austin, TX, 78751","Match","Exact","610 E 45TH ST, AUSTIN, TX, 78751","-97.723432360135,30.306674432243","63945881","L","48","453","000304","2030"
"33","3804 Avenue B, Austin, TX, 78751","Match","Exact","3804 AVE B, AUSTIN, TX, 78751","-97.736329890761,30.301949707135","652310695","L","48","453","000302","5011"
"34","500 W Ben White Boulevard, Austin, TX, 78704","Match","Non_Exact","500 W BEN WHITE SVC RD, AUSTIN, TX, 78704","-97.765736700053,30.224927999257","64097522","R","48","453","001308","1007"
"35","810 W. 45th Street, Austin, TX, 78751","Match","Exact","810 W 45TH ST, AUSTIN, TX, 78751","-97.735435514344,30.31231595723","624841436","R","48","453","000203","2005"
"36","201 East Wilco Highway, Hutto, TX, 78634","No_Match"
"37","4430 Menchaca Rd, Austin, TX, 78745","Match","Non_Exact","4430 MANCHACA RD, AUSTIN, TX, 78745","-97.789496436521,30.228234795217","63943993","R","48","453","030300","1020"
"38","1221 W. Ben White Blvd., Austin, TX, 78704","Match","Exact","1221 W BEN WHITE BLVD, AUSTIN, TX, 78704","-97.778467421065,30.227322029935","64014922","L","48","453","002002","1003"
"39","7050 Elroy Rd., Austin, TX, 78617","Match","Non_Exact","7050 ELROY RD, DEL VALLE, TX, 78617","-97.642229123497,30.157779837875","640718335","R","48","453","002449","2047"
"140","4911 Harmon Avenue, Austin, TX, 78751","Match","Exact","4911 HARMON AVE, AUSTIN, TX, 78751","-97.712893068473,30.308857837465","63947305","R","48","453","000304","1013"
"141","1201 Pine Street, Bastrop, TX, 78602","Match","Exact","1201 PINE ST, BASTROP, TX, 78602","-97.313731255959,30.109482504456","45476374","L","48","021","950401","3013"
"142","987 N State Highway 95, Bastrop, TX, 78602","Tie"
"143","306 Paul C Bell St, Bastrop, TX, 78602","Match","Exact","306 PAUL C BELL ST, BASTROP, TX, 78602","-97.317429229407,30.103180459117","45467081","L","48","021","950403","1005"
"144","303 Ave C, Elgin, TX, 78621","Tie"
"145","302 West 11th Street, Elgin, TX, 78621","Match","Exact","302 W 11TH ST, ELGIN, TX, 78621","-97.379364625869,30.352158038491","45460573","L","48","021","950202","2012"
"146","205 W. 2nd Street, Elgin, TX, 78621","Match","Exact","205 W 2ND ST, ELGIN, TX, 78621","-97.372228722835,30.349053023549","45461184","R","48","021","950202","2041"
"147","301 Lee St. Smithville, TX 78957, Smithville, TX, 78957","Match","Non_Exact","301 LEE ST, SMITHVILLE, TX, 78957","-97.162544416886,30.00421724728","45469307","R","48","021","950700","4068"
"148","111 Pearce Lane, Cedar Creek, TX, 78612","Match","Exact","111 PEARCE LN, CEDAR CREEK, TX, 78612","-97.49997933017,30.086444422563","45471373","L","48","021","950804","2001"
"149","5630 FM 535, Cedar Creek, TX, 78612","Match","Exact","5630 FM 535, CEDAR CREEK, TX, 78612","-97.500852071141,30.083886904657","45476669","R","48","021","950804","2017"
"40","2909 North IH35, Austin, TX, 78722","No_Match"
"41","1101 Camino La Costa, Austin, TX, 78752","Match","Exact","1101 CAM LA COSTA, AUSTIN, TX, 78752","-97.700194597664,30.324875579805","654552511","R","48","453","043400","2008"
"42","405 W. Stassney Lane, Austin, TX, 78745","Match","Non_Exact","405 E STASSNEY LN, AUSTIN, TX, 78745","-97.771764751983,30.202823324581","64096703","R","48","453","002443","1006"
"43","7500 Blessing Avenue, Austin, TX, 78752","Match","Exact","7500 BLESSING AVE, AUSTIN, TX, 78752","-97.69306280548,30.332027518138","649480854","L","48","453","043300","1009"
"44","5202 E. Ben White Blvd., Austin, TX, 78741","Match","Exact","5202 E BEN WHITE BLVD, AUSTIN, TX, 78741","-97.727076430412,30.214530757707","638651293","L","48","453","002313","1007"
"45","3001 S. Congress Ave, Austin, TX, 78704","Match","Non_Exact","3001 CONGRESS AVE S, AUSTIN, TX, 78704","-97.757808218145,30.23336705748","64121665","L","48","453","002323","3001"
"46","4201 South Congress Avenue Ste 202, Austin, TX, 78745","Match","Non_Exact","4201 CONGRESS AVE S, AUSTIN, TX, 78745","-97.764854785415,30.221245548362","63945197","L","48","453","002403","1004"
"47","9111 Jollyville Rd, Austin, TX, 78759","Match","Exact","9111 JOLLYVILLE RD, AUSTIN, TX, 78759","-97.743300108233,30.381596235919","63998562","R","48","453","030100","3017"
"48","810 W 45th St, Austin, TX, 78751","Match","Exact","810 W 45TH ST, AUSTIN, TX, 78751","-97.735435514344,30.31231595723","624841436","R","48","453","000203","2005"
"49","604 High Tech Drive, Georgetown, TX, 78626","Match","Exact","604 HIGH TECH DR, GEORGETOWN, TX, 78626","-97.670418401313,30.619334151063","126500086","R","48","491","021407","2002"
"150","125 Voss Pkwy, Cedar Creek, TX, 78612","Match","Exact","125 VOSS PKWY, CEDAR CREEK, TX, 78612","-97.47852773545,30.093349035508","45489334","R","48","021","950303","2002"
"151","1501 US-290, Elgin, TX, 78621","Match","Exact","1501 US HWY 290, ELGIN, TX, 78621","-97.404131293349,30.352226324199","45500350","R","48","021","950202","2016"
"152","Bastrop Community Senior Center, 1209 Linden St, Bastrop, TX, 78602","Match","Non_Exact","1209 LINDEN ST, BASTROP, TX, 78602","-97.314461685988,30.125201375678","45468546","L","48","021","950401","4017"
